pipeline_version,protocol,learner,method,n_after_protocol__mean,n_after_protocol__std,n_after_protocol__median,n_after_protocol__count,d_after_encoding__mean,d_after_encoding__std,d_after_encoding__median,d_after_encoding__count,model_test_accuracy__mean,model_test_accuracy__std,model_test_accuracy__median,model_test_accuracy__count,clean_target_reconstruction_r2__mean,clean_target_reconstruction_r2__std,clean_target_reconstruction_r2__median,clean_target_reconstruction_r2__count,clean_target_reconstruction_cosine__mean,clean_target_reconstruction_cosine__std,clean_target_reconstruction_cosine__median,clean_target_reconstruction_cosine__count,bootstrap_cosine_flat__mean,bootstrap_cosine_flat__std,bootstrap_cosine_flat__median,bootstrap_cosine_flat__count,irrelevant_decoy_mass_ratio__mean,irrelevant_decoy_mass_ratio__std,irrelevant_decoy_mass_ratio__median,irrelevant_decoy_mass_ratio__count,log10_cond_reg__mean,log10_cond_reg__std,log10_cond_reg__median,log10_cond_reg__count,log10_coef_norm__mean,log10_coef_norm__std,log10_coef_norm__median,log10_coef_norm__count
main_corrected_inverse_map_2026-08-31_v2,complete_case,svm,HuberRidgeAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.8384353741496599,0.02124148979047079,0.8316326530612245,3,0.03923563973569418,0.03128883394293165,0.049564504891390304,3,0.232521846301027,0.0581945665128846,0.2501480701910269,3,0.9411783474842922,0.010999972024968599,0.9395449844779022,3,0.036163708687903494,0.002651445555493182,0.03524511329754513,3,0.25861149585917603,0.026654177699047037,0.25730777389667897,3,0.45363219739191174,0.005908215217836172,0.4515372662905439,3
main_corrected_inverse_map_2026-08-31_v2,complete_case,svm,RidgeAIME,653.0,0.0,653.0,3,37.0,0.0,37.0,3,0.8384353741496599,0.02124148979047079,0.8316326530612245,3,0.0363134264041863,0.03208328171582631,0.04510236478791585,3,0.2276959378282369,0.05926025255506948,0.24250142042290757,3,0.929539593729327,0.018507723867059938,0.9282795293666577,3,0.03853555416327762,0.0034028662563139866,0.03710486368299759,3,0.26766161129241034,0.015467590719832,0.26684600150069254,3,0.4581920454919343,0.0026819474017120612,0.4573668897176852,3
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,AIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8534621578099838,0.02830659554146045,0.8647342995169082,3,0.019956987282789385,0.012935644765788665,0.013421304204177864,3,0.1841872658654976,0.03647103078727053,0.16402169882280826,3,0.9132193992044972,0.001050087592229003,0.9138245854436784,3,0.033548661493624156,0.007472354680826082,0.03013562970191248,3,0.1464104667835906,0.034196147534639044,0.12834101723863314,3,0.38373479324725285,0.023570985199060056,0.3743510975195322,3
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,HuberAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8534621578099838,0.02830659554146045,0.8647342995169082,3,0.020668359608055836,0.010718399762739887,0.015736254745519873,3,0.18413652453686977,0.03298202165963976,0.16598444689220365,3,0.9194876662518526,0.004348859450778227,0.920634115897025,3,0.031621574345908836,0.005930446788054281,0.03301038595399628,3,0.15360309634875646,0.04511599120076523,0.12804138797238365,3,0.3696311136550023,0.010806997994897849,0.37460851633838277,3
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,HuberRidgeAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8534621578099838,0.02830659554146045,0.8647342995169082,3,0.02067047881452592,0.010716590526422003,0.015741454674641053,3,0.18413584497476207,0.03298127401963595,0.16598357564917474,3,0.9194854768141538,0.004349150388107596,0.9206324330271851,3,0.03162214576871401,0.005930457127880177,0.033011285685964835,3,0.15357746137747094,0.04510797134447873,0.12802053133432495,3,0.3695475817550135,0.01080327675708341,0.3745263469451039,3
main_corrected_inverse_map_2026-08-31_v2,impute,lgbm,RidgeAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8534621578099838,0.02830659554146045,0.8647342995169082,3,0.019959712802403384,0.012933023272669325,0.013428156139570935,3,0.18418664169113488,0.036470532693753666,0.1640220190395147,3,0.9132170842927964,0.001050245100876775,0.9138221683695195,3,0.033549167034207836,0.007472238262077918,0.03013639863110629,3,0.14638717124204684,0.03419033081934074,0.12832112795778797,3,0.383655543063889,0.023567093920995704,0.37427248190365114,3
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,AIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.818035426731079,0.01475869789035694,0.821256038647343,3,0.03703649819883811,0.02987501166920434,0.021162273386260533,3,0.23290224445403485,0.059943627166736776,0.19862255906022386,3,0.9351936469658547,0.024728994228377814,0.9436277969695596,3,0.02380364732624329,0.007955894168344932,0.020919652298301356,3,0.4968693588189897,0.1571647473476419,0.5843212151688111,3,0.6447058909319852,0.07397606435156616,0.6825580997463969,3
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,HuberAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.818035426731079,0.01475869789035694,0.821256038647343,3,0.04236315429989124,0.03529839174127052,0.02278682934022258,3,0.2409803078297226,0.0676341053488305,0.20609077210000648,3,0.9540482468155341,0.01607115208283683,0.9622045985135506,3,0.022669386392048085,0.009096133149209424,0.018034019012758872,3,0.504034072736759,0.15154162440999822,0.5873396447679934,3,0.6338938216841372,0.08601190673881948,0.6816240270134116,3
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,HuberRidgeAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.818035426731079,0.01475869789035694,0.821256038647343,3,0.04237016852996204,0.03529083234241606,0.022795047623563325,3,0.2409728139996481,0.06763955293014688,0.20607884477494143,3,0.9540435436273649,0.01607146578128358,0.9622006207690786,3,0.022670689507227244,0.00909574658219155,0.018035229307203398,3,0.5038919101925737,0.15147995217944688,0.5871647702338924,3,0.6336920081006201,0.08595193831191839,0.6813894662468409,3
main_corrected_inverse_map_2026-08-31_v2,impute,mlp,RidgeAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.818035426731079,0.01475869789035694,0.821256038647343,3,0.03704692916907112,0.02987017314749124,0.021176431561104048,3,0.23289578364067198,0.05994783886680005,0.19861350960926874,3,0.9351881145752162,0.024728681834127304,0.9436228545168996,3,0.023804756080013516,0.00795589591336494,0.02092090757354538,3,0.49673388459314216,0.15710290828525245,0.5841525021030719,3,0.6445133930796629,0.07391568908797433,0.6823334307554367,3
main_corrected_inverse_map_2026-08-31_v2,impute,svm,AIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8470209339774558,0.032883378191082384,0.8357487922705314,3,0.0247044456576981,0.0231444955852891,0.017531932471398504,3,0.21296766538077602,0.049599191755756174,0.21531037751767496,3,0.922882792609054,0.022543285579793876,0.9302188768203754,3,0.039427449808328546,0.00552202927555883,0.038961349728365666,3,0.3199628468841591,0.05319370725513553,0.33984273220537514,3,0.4784734365205792,0.02960998209059085,0.4917575643421056,3
main_corrected_inverse_map_2026-08-31_v2,impute,svm,HuberAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8470209339774558,0.032883378191082384,0.8357487922705314,3,0.0285208824382428,0.02112651313473843,0.025140626815514544,3,0.2194000031192679,0.0483767546404886,0.22881718829664816,3,0.9355459578062909,0.011323644728015236,0.9419336001369935,3,0.03712537944272363,0.0045372291267093846,0.03457100767682563,3,0.3137145054254968,0.05729789841279224,0.33118263614267074,3,0.47730648632621975,0.032497354912401966,0.48844450902062997,3
main_corrected_inverse_map_2026-08-31_v2,impute,svm,HuberRidgeAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8470209339774558,0.032883378191082384,0.8357487922705314,3,0.028525364542554832,0.021120073047139067,0.025143566054195543,3,0.2193978325677258,0.048376609651070906,0.22881518902624637,3,0.9355407567371771,0.01132408090397038,0.9419280484324247,3,0.0371266019210897,0.0045377355853157,0.034571922230358355,3,0.3136492408046157,0.05728335184779206,0.331113331031377,3,0.4771828947200336,0.03248545626497499,0.48831633793389334,3
main_corrected_inverse_map_2026-08-31_v2,impute,svm,RidgeAIME,690.0,0.0,690.0,3,42.0,0.0,42.0,3,0.8470209339774558,0.032883378191082384,0.8357487922705314,3,0.024709484726460024,0.02313798882282111,0.01753624684241628,3,0.21296465233121445,0.049599589197559996,0.21530692693508205,3,0.9228762649550349,0.02254485973912107,0.9302113141036816,3,0.03942856554776478,0.005522227840239443,0.03896222442977743,3,0.3198981599179754,0.053179894467329694,0.3397732263502183,3,0.4783537876178019,0.02959768443910433,0.4916335341923096,3
