pipeline_version,subset,method_a,method_b,contrast_interpretation,metric,metric_role,preferred_direction,n_repeated_pairs,n_condition_clusters,method_a_mean,method_b_mean,a_minus_b_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
main_corrected_inverse_map_2026-08-31_v2,all_conditions,RidgeAIME,AIME,ridge contribution,log10_coef_norm,regularization diagnostic,diagnostic only,243,81,1.0242278092132522,1.0243390493667262,-0.00011124015347361458,-0.00013207386889664267,-9.30473872143142e-05,-9.312035992525836e-05,5.362626265112966e-15
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,clean_target_reconstruction_r2,clean-target reconstruction,higher is better,243,81,0.2825093564388514,0.2649456076746935,0.01756374876415792,0.01323080768956064,0.02209258734395826,0.01192388645698154,1.8421011369309537e-12
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,clean_target_reconstruction_cosine,clean-target reconstruction,higher is better,243,81,0.49670285686119364,0.4827956757958962,0.013907181065297487,0.010650876259768743,0.017255105256287633,0.009585656852847698,7.236609312978719e-12
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,operator_cosine_flat,same-method clean-reference operator recovery,higher is better,243,81,0.9966026096748951,0.9622433523397979,0.03435925733509717,0.024173869514588237,0.04576795657078911,0.015763512733757534,2.0140896057134735e-13
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,operator_topk_jaccard,same-method clean-reference operator recovery,higher is better,243,81,0.8243650026511319,0.6711827815390098,0.15318222111212212,0.11999921291836402,0.1863407324879633,0.12121212121212117,3.0785718124716286e-10
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,bootstrap_cosine_flat,stability/self-consistency,higher is better,243,81,0.9719190958093522,0.9483982507937235,0.023520845015628587,0.018149909709246674,0.02923332831804933,0.014124921916845926,8.080585929050125e-15
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,irrelevant_decoy_mass_ratio,true irrelevant-decoy attribution,lower is better,243,81,0.015411839449881387,0.018133497077882352,-0.002721657628000964,-0.0037457664325106096,-0.0017772816317188549,-0.00014722249222845688,3.4559932770653593e-07
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,clone_mass_ratio,correlated-clone redistribution,descriptive,243,81,0.15348024467973484,0.15411881913265174,-0.000638574452916916,-0.0014849122331533585,0.00021261845350782385,0.0,0.1027561242777566
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,log10_cond_reg,conditioning diagnostic,lower is better,243,81,0.2883167169432964,0.2764710098444917,0.01184570709880471,0.007770949513337133,0.01599337733917805,0.011975617064568345,1.8439195581372718e-07
main_corrected_inverse_map_2026-08-31_v2,all_conditions,HuberAIME,AIME,Huber contribution,log10_coef_norm,regularization diagnostic,diagnostic only,243,81,0.9944971301607357,1.0243390493667262,-0.02984191920599023,-0.03669435128856086,-0.0235432166717879,-0.018970843204480985,5.778809654936665e-15
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,clean_target_reconstruction_r2,clean-target reconstruction,higher is better,162,54,0.2833712903028597,0.2572350461052397,0.026136244197619993,0.021168166188672004,0.031634112339757145,0.023411008358606933,1.6256984569330967e-10
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,clean_target_reconstruction_cosine,clean-target reconstruction,higher is better,162,54,0.49840468246733755,0.4778262494898991,0.020578432977438364,0.01678360669069705,0.024576138645047818,0.015979364454792422,1.6256984569330967e-10
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,operator_cosine_flat,same-method clean-reference operator recovery,higher is better,162,54,0.9949037232289352,0.9433620288444935,0.05154169438444169,0.03819713981875845,0.06653274186464629,0.025422274300639702,1.6256984569330967e-10
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,operator_topk_jaccard,same-method clean-reference operator recovery,higher is better,162,54,0.7365475039766979,0.5072885756006958,0.22925892837600212,0.1937456710253694,0.2642295432704359,0.23100680995417844,3.077992891573785e-10
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,bootstrap_cosine_flat,stability/self-consistency,higher is better,162,54,0.9714591240611841,0.938255006891178,0.03320411717000595,0.0266815771835728,0.04021059432817201,0.02295873145467745,1.6256984569330967e-10
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,irrelevant_decoy_mass_ratio,true irrelevant-decoy attribution,lower is better,162,54,0.016125078230411448,0.020108071073798563,-0.0039829928433871165,-0.005407974468818557,-0.002678108289247673,-0.0027511530051195555,3.013074773885167e-08
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,clone_mass_ratio,correlated-clone redistribution,descriptive,162,54,0.15607069655233824,0.1565286031952208,-0.0004579066428825552,-0.0015821339878293536,0.0006674852551990274,0.0,0.38754305444549786
main_corrected_inverse_map_2026-08-31_v2,outlier_present,HuberRidgeAIME,RidgeAIME,Huber contribution beyond ridge,log10_cond_reg,conditioning diagnostic,lower is better,162,54,0.3006050313531315,0.2884287731964419,0.012176258156689632,0.00637695334944932,0.018031795481708614,0.011701837016726179,0.00018956648614446662
