pipeline_version,n,d,C,repeat,method,runtime_sec,n_times_d,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,ridge_lambda,huber_delta,residual_mode,effective_delta_on_l2_norm,error
main_corrected_inverse_map_2026-08-31_v2,500,20,3,2,RidgeAIME,0.00016475003212690353,10000,X ~= Y A^T,SVD normal-system solve,5.005475331553824,5.00427280987043,33.298965542024504,33.308965542024524,166.67715058686446,166.6871505868644,33.30896554202449,1.6668715058686442e-10,4.71149902255939,1,True,1.0,0.0,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,20,3,2,HuberRidgeAIME,0.00048758310731500387,10000,X ~= Y A^T,SVD normal-system solve,4.980581672719591,4.979358816677341,32.5415149387358,32.55151493873581,162.07567290639832,162.08567290639832,32.55151493873582,1.6208567290639832e-10,4.667035753343953,5,True,0.9723905244811353,0.048,0.01,1.0,rms,4.47213595499958,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,0,AIME,0.000276917009614408,50000,X ~= Y A^T,SVD normal-system solve,4.768134046705911,4.768134046705911,34.959927469514234,34.959927469514234,166.69362043776005,166.69362043776005,34.95992746951423,1.6669362043776005e-10,9.787898725435976,1,True,1.0,0.0,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,0,HuberAIME,0.0008104160660877824,50000,X ~= Y A^T,SVD normal-system solve,4.774394647816851,4.774394647816851,33.69760376670172,33.69760376670172,160.88565906799363,160.88565906799363,33.697603766701725,1.608856590679936e-10,9.782342514014063,5,True,0.9651985691907382,0.05,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,0,RidgeAIME,0.00026512506883591413,50000,X ~= Y A^T,SVD normal-system solve,4.768134046705911,4.767056511143395,34.959927469514234,34.96992746951423,166.69362043776005,166.7036204377601,34.969927469514246,1.6670362043776003e-10,9.785731855976142,1,True,1.0,0.0,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,0,HuberRidgeAIME,0.0007696669781580567,50000,X ~= Y A^T,SVD normal-system solve,4.774394628679057,4.773274882930867,33.69760402327934,33.707604023279345,160.88565964809868,160.89565964809873,33.70760402327933,1.6089565964809864e-10,9.78009493487458,5,True,0.965198572620405,0.05,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,1,AIME,0.00027483305893838406,50000,X ~= Y A^T,SVD normal-system solve,4.765304991709689,4.765304991709689,34.98272509840123,34.98272509840123,166.70335453501923,166.70335453501923,34.98272509840121,1.667033545350192e-10,10.292743403270897,1,True,1.0,0.0,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,1,HuberAIME,0.0008087500464171171,50000,X ~= Y A^T,SVD normal-system solve,4.7922916438563785,4.7922916438563785,33.553379499835856,33.553379499835856,160.7975802002053,160.7975802002053,33.55337949983584,1.6079758020020524e-10,9.891311014908387,5,True,0.9645366374532055,0.05,0.0,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,1,RidgeAIME,0.00042216700967401266,50000,X ~= Y A^T,SVD normal-system solve,4.765304991709689,4.764228966627014,34.98272509840123,34.992725098401216,166.70335453501923,166.71335453501922,34.992725098401216,1.667133545350192e-10,10.290629326560747,1,True,1.0,0.0,0.01,1.0,rms,10.0,
main_corrected_inverse_map_2026-08-31_v2,500,100,3,1,HuberRidgeAIME,0.0009187910472974181,50000,X ~= Y A^T,SVD normal-system solve,4.792291702376453,4.791161812643484,33.55337872385701,33.56337872385702,160.79757844503456,160.80757844503455,33.563378723856985,1.6080757844503454e-10,9.889251225727847,5,True,0.9645366267090915,0.05,0.01,1.0,rms,10.0,
