pipeline_version,experiment_mode,subset,metric,role,direction,n_repeated_pairs,n_condition_clusters,HRA_mean,RidgeAIME_mean,HRA_minus_Ridge_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.05,log10_coef_norm,regularization diagnostic,diagnostic only,81,27,1.0084580809739045,1.0404332453074265,-0.03197516433352188,-0.043047842559184514,-0.022268478688531584,-0.02046887555528465,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,81,27,0.2868785014900771,0.24814422276785306,0.03873427872222402,0.02957286372879261,0.04873429495319319,0.02844142529223918,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,81,27,0.5061633925099486,0.47759198991924084,0.02857140259070771,0.021869365701399322,0.0355940446293997,0.02845108041712203,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,operator_cosine_flat,clean-reference operator recovery,higher is better,81,27,0.9852241035192855,0.924896362160478,0.060327741358807356,0.0412013503389074,0.08253337034999977,0.04656268280136422,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,operator_spearman_global,clean-reference operator recovery,higher is better,81,27,0.9423392658964583,0.8356066520252771,0.10673261387118138,0.07452197263485939,0.14304783192286602,0.07659481343691872,2.086162567138672e-07
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,operator_topk_jaccard,clean-reference operator recovery,higher is better,81,27,0.6601742632587719,0.43859860724325817,0.22157565601551385,0.17452952894846027,0.271714474009939,0.2231102231102232,2.9802322387695312e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,bootstrap_cosine_flat,self-consistency/stability,higher is better,81,27,0.9706214016296467,0.9293853728949575,0.04123602873468917,0.03092777206937585,0.05253387186062059,0.03524590631782002,1.4901161193847656e-08
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,81,27,0.016344634500055168,0.019981932052575438,-0.0036372975525202685,-0.005221528800324924,-0.002140281811947446,-0.0030194158819707596,1.6391277313232422e-06
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,81,27,0.010699588477366255,0.024691358024691357,-0.013991769547325105,-0.023868312757201648,-0.005761316872427984,0.0,0.007474737075047493
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,81,27,0.16155008695434253,0.16220372702342578,-0.0006536400690832134,-0.003774146188297629,0.002615865715641988,0.0,0.49965637964334186
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,outlier_rate=0.10,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,81,27,0.11002939447383892,0.11507936507936507,-0.005049970605526161,-0.013971707818930037,0.002969503233392111,0.0,0.22076555137346388
