pipeline_version,method,ridge_lambda,huber_delta,log10_cond_reg__mean,log10_cond_reg__std,log10_cond_reg__count,log10_coef_norm__mean,log10_coef_norm__std,log10_coef_norm__count,clean_target_reconstruction_r2__mean,clean_target_reconstruction_r2__std,clean_target_reconstruction_r2__count,clean_target_reconstruction_cosine__mean,clean_target_reconstruction_cosine__std,clean_target_reconstruction_cosine__count,operator_cosine_flat__mean,operator_cosine_flat__std,operator_cosine_flat__count,clone_mass_ratio__mean,clone_mass_ratio__std,clone_mass_ratio__count,clone_topk_infiltration__mean,clone_topk_infiltration__std,clone_topk_infiltration__count,irrelevant_decoy_mass_ratio__mean,irrelevant_decoy_mass_ratio__std,irrelevant_decoy_mass_ratio__count,irrelevant_decoy_topk_infiltration__mean,irrelevant_decoy_topk_infiltration__std,irrelevant_decoy_topk_infiltration__count,outlier_weight_ap__mean,outlier_weight_ap__std,outlier_weight_ap__count,bootstrap_cosine_flat__mean,bootstrap_cosine_flat__std,bootstrap_cosine_flat__count,frac_downweighted__mean,frac_downweighted__std,frac_downweighted__count
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.0001,1.0,0.27548951199452837,0.151826156770189,27,1.0289181978569757,0.46935143789086636,27,0.2849858145422935,0.20027251573009727,27,0.49618468516439296,0.22073112139756365,27,0.9892125916275387,0.0119052012988839,27,0.27152486363927086,0.09675843819561226,27,0.1165079365079365,0.09798510834930131,27,0.014861514513683614,0.012860350678921717,27,0.0049382716049382715,0.025660011963983365,27,0.9707142738238846,0.034344254020154674,27,0.9695886612563817,0.03246165022668899,27,0.20560958951481825,0.04288248317855056,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.0001,2.0,0.2664443460491351,0.15603221499733547,27,1.041557760664541,0.4658822856877035,27,0.28144630313595825,0.20145498294624617,27,0.492323836227058,0.22308498570335686,27,0.9826308927108699,0.019049555557310145,27,0.27114433900801405,0.09541649713432102,27,0.11051146384479717,0.09989318610116649,27,0.01711443213091913,0.014732303629425464,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9608185323954658,0.038665286480685894,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.001,0.5,0.3435893510168058,0.1343723683047798,27,1.0233406036224266,0.46801873207370837,27,0.2830950509532248,0.2002874711451049,27,0.4942131464863739,0.22129245784232135,27,0.9815004171959946,0.01947037232207449,27,0.2701807789607569,0.09630350291098559,27,0.10343915343915343,0.09043746359663102,27,0.013836791453250084,0.011854372605299333,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722681,27,0.9705386461468177,0.03215855801812244,27,0.8011360099595394,0.12214885278260612,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.001,1.0,0.2754838057723098,0.15182002860575208,27,1.0289074855915332,0.46935442180140863,27,0.28498583822342716,0.20027225882876593,27,0.49618450347564896,0.22073121180485616,27,0.9892124838662292,0.011905292573902293,27,0.271524852680014,0.09675840132212721,27,0.1165079365079365,0.09798510834930131,27,0.01486156923892678,0.012860385724754524,27,0.0049382716049382715,0.025660011963983365,27,0.9707142738238846,0.034344254020154674,27,0.9695885026053923,0.03246178673157507,27,0.20560958951481825,0.04288248317855056,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.001,2.0,0.2664388844574611,0.1560262804948847,27,1.0415478576374224,0.46588501528106335,27,0.2814466917773331,0.20145479033497057,27,0.4923236753000655,0.22308512635487274,27,0.9826307883510261,0.019049664710421042,27,0.2711443370560878,0.09541647489424099,27,0.11051146384479717,0.09989318610116649,27,0.017114481922633883,0.014732342534569237,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9608183393755466,0.03866544346777595,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.01,0.5,0.34348980313485017,0.1342991455755621,27,1.0231817418977005,0.46806674884105753,27,0.28309189133639734,0.20028144600171313,27,0.49420758105813356,0.22129353691770776,27,0.9814951137718211,0.01947222910678916,27,0.27018029023118556,0.09630248302701433,27,0.10343915343915343,0.09043746359663102,27,0.013837562067550168,0.01185493803993313,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722681,27,0.9705377275376684,0.032159153583795765,27,0.8011360099595394,0.12214885278260612,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.01,1.0,0.2754267604618412,0.15175877547789954,27,1.028800384783335,0.4693842600203786,27,0.2849860489088997,0.2002696821134844,27,0.49618268620897304,0.22073211562612507,27,0.9892114062666224,0.011906205279418833,27,0.27152474320543013,0.09675803272460415,27,0.1165079365079365,0.09798510834930131,27,0.014862117032804704,0.012860735914746072,27,0.0049382716049382715,0.025660011963983365,27,0.9707142738238846,0.034344254020154674,27,0.9695869159577563,0.03246315175638336,27,0.20560958951481825,0.04288248317855056,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.01,2.0,0.26638428473786635,0.15596696294186282,27,1.0414488464949392,0.4659123104154215,27,0.2814505539833589,0.20145285746784405,27,0.4923220657764447,0.22308653264121572,27,0.9826297448019047,0.01905075618017265,27,0.2711443175582658,0.09541625253744276,27,0.11051146384479717,0.09989318610116649,27,0.01711497977026664,0.014732731536865117,27,0.019753086419753086,0.04826853238643276,27,0.932237865350457,0.0781738304594867,27,0.9608164091157626,0.03866701335332228,27,0.1038299270325414,0.014012710114786452,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.1,0.5,0.34249971876582813,0.13357359438570726,27,1.0215983820945354,0.46854641945265957,27,0.2830553522172332,0.2002200541657482,27,0.49415187136547456,0.22130427285071472,27,0.9814420645125267,0.019490758723717735,27,0.2701754942189387,0.09629234231441515,27,0.10343915343915343,0.09043746359663102,27,0.013845269569745067,0.011860580318765988,27,0.007407407407407408,0.02824395152454411,27,0.9700083147594388,0.03446848103722681,27,0.9705284068141702,0.03216513853178746,27,0.8008247743541861,0.12245568537883147,27
r5_final_inverse_map_complete_2026-08-31,HuberRidgeAIME,0.1,1.0,0.27485799190885596,0.15114908076676542,27,1.0277315535140776,0.46968254919309793,27,0.28498557591827955,0.2002431543794701,27,0.4961644758254124,0.22074112872258167,27,0.9892006316600186,0.011915327874010059,27,0.27152366017477864,0.09675436040668776,27,0.1165079365079365,0.09798510834930131,27,0.014867579411376673,0.01286423215520373,27,0.0049382716049382715,0.025660011963983365,27,0.9707142738238846,0.034344254020154674,27,0.9695710110810453,0.03247678297362771,27,0.20560958951481825,0.04288248317855056,27
