pipeline_version,dataset,learner,repeat,condition,method,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,explain_time_sec,added_clone_mass,bootstrap_cosine,bootstrap_spearman,bootstrap_topk,noise_cosine,noise_spearman,noise_topk,implementation,error
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,joint_high_stress,LIME,0.1,0.5,57,15,30,45,1.186629542033188,0.9590643274853801,0.04931049991864711,0.3655939008861677,0.9982232994868248,0.9368642951251646,0.8727272727272728,0.995741523642537,0.8118137900746597,0.9393939393939394,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,1,joint_high_stress,SHAP_TreeSHAP,0.1,0.5,57,15,30,45,1.186629542033188,0.9590643274853801,0.0020556249655783176,0.3900683175743506,0.9942313000016811,0.9793017127799736,0.8424242424242425,0.9996070273600198,0.9964426877470355,0.9393939393939394,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,clean,AIME,0.0,0.0,0,0,42,42,1.2750523750437424,0.927536231884058,0.0002680419711396098,0.0,0.9490678193340394,0.8516903121199837,0.6213786213786214,0.9988552999606135,0.9883017528875723,0.8181818181818182,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,clean,HuberAIME,0.0,0.0,0,0,42,42,1.2750523750437424,0.927536231884058,0.0006340829422697425,0.0,0.9540170580915313,0.8715524929063638,0.6603396603396603,0.9988831848102259,0.9908143157759172,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,clean,RidgeAIME,0.0,0.0,0,0,42,42,1.2750523750437424,0.927536231884058,0.00016545795369893312,0.0,0.9490669132981122,0.8516903121199837,0.6213786213786214,0.9988553150586688,0.9883017528875723,0.8181818181818182,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,clean,HuberRidgeAIME,0.0,0.0,0,0,42,42,1.2750523750437424,0.927536231884058,0.0006307921139523387,0.0,0.9540162161783728,0.8715524929063638,0.6603396603396603,0.9988831999482747,0.9908143157759172,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,clean,LIME,0.0,0.0,0,0,42,42,1.2750523750437424,0.927536231884058,0.04583470802754164,0.0,0.9982650102885982,0.8837695486589418,0.7599067599067599,0.9970080241109355,0.620506171839127,0.6239316239316239,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,clean,SHAP_TreeSHAP,0.0,0.0,0,0,42,42,1.2750523750437424,0.927536231884058,0.001733458018861711,0.0,0.9931178558163678,0.9796276196042415,0.806060606060606,0.9980143667125557,0.9961036430937075,1.0,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,joint_high_stress,AIME,0.1,0.5,69,21,42,63,1.336732167052105,0.8454106280193237,0.000275749946013093,0.417470636656869,0.8488350802542936,0.6192780337941628,0.4999000999001,0.9807658562635092,0.8890168970814133,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,joint_high_stress,HuberAIME,0.1,0.5,69,21,42,63,1.336732167052105,0.8454106280193237,0.0007757080020383,0.43500815257358655,0.9465376756803925,0.816748271889401,0.6796536796536797,0.9937788265045929,0.9623175883256531,0.7676767676767677,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,joint_high_stress,RidgeAIME,0.1,0.5,69,21,42,63,1.336732167052105,0.8454106280193237,0.0001759999431669712,0.4174701348363527,0.8488332444054594,0.6192780337941628,0.4999000999001,0.9807660678512047,0.8890168970814133,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,joint_high_stress,HuberRidgeAIME,0.1,0.5,69,21,42,63,1.336732167052105,0.8454106280193237,0.0007180829998105764,0.43500767064825296,0.9465367779651885,0.8166282642089093,0.6796536796536797,0.9937789490675407,0.9623175883256531,0.7676767676767677,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,joint_high_stress,LIME,0.1,0.5,69,21,42,63,1.336732167052105,0.8454106280193237,0.04955520899966359,0.4743813106046584,0.99584727850871,0.914651926794688,0.8393939393939395,0.9913509065445433,0.7684657086419052,0.7171717171717171,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,0,joint_high_stress,SHAP_TreeSHAP,0.1,0.5,69,21,42,63,1.336732167052105,0.8454106280193237,0.002265915973111987,0.6113237479666832,0.9948974887826786,0.9953984231665594,0.8424242424242424,0.9846022963511792,0.9900001652865242,0.6744366744366744,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,clean,AIME,0.0,0.0,0,0,42,42,1.2597522910218686,0.8502415458937198,0.00025345792528241873,0.0,0.9194266009968596,0.7506578651915253,0.5939060939060938,0.9984304059618645,0.9920175120906732,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,clean,HuberAIME,0.0,0.0,0,0,42,42,1.2597522910218686,0.8502415458937198,0.0006234579486772418,0.0,0.9287870033090533,0.7903930420692573,0.6043956043956044,0.9984393555374025,0.9917473768860084,0.8181818181818182,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,clean,RidgeAIME,0.0,0.0,0,0,42,42,1.2597522910218686,0.8502415458937198,0.00018124992493540049,0.0,0.9194249443071053,0.7506578651915253,0.5939060939060938,0.9984304373661343,0.9920175120906732,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,clean,HuberRidgeAIME,0.0,0.0,0,0,42,42,1.2597522910218686,0.8502415458937198,0.0005947919562458992,0.0,0.9287854760657563,0.7902847961044274,0.6043956043956044,0.9984393843551093,0.9917473768860084,0.8181818181818182,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,clean,LIME,0.0,0.0,0,0,42,42,1.2597522910218686,0.8502415458937198,0.04521237500011921,0.0,0.9982620371979364,0.8140345190827325,0.8939393939393939,0.9972629992304461,0.6278529562704265,1.0,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,clean,SHAP_TreeSHAP,0.0,0.0,0,0,42,42,1.2597522910218686,0.8502415458937198,0.001635666936635971,0.0,0.9962586988117058,0.9877431744176338,0.7727272727272727,0.9977684507737435,0.9979961593053354,1.0,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,joint_high_stress,AIME,0.1,0.5,69,21,42,63,1.3442959579406306,0.8985507246376812,0.00028249993920326233,0.3200415080428197,0.8775811284363828,0.681902841781874,0.5472527472527472,0.9888845123766058,0.9756784434203789,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,joint_high_stress,HuberAIME,0.1,0.5,69,21,42,63,1.3442959579406306,0.8985507246376812,0.0006832910003140569,0.31991063250404794,0.9451991943662058,0.8053043394777267,0.806060606060606,0.9940062571415016,0.9511808755760369,0.8181818181818182,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,joint_high_stress,RidgeAIME,0.1,0.5,69,21,42,63,1.3442959579406306,0.8985507246376812,0.00023875001352280378,0.3200425731452843,0.8775793460136428,0.681902841781874,0.5472527472527472,0.9888845552477331,0.9756784434203789,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,joint_high_stress,HuberRidgeAIME,0.1,0.5,69,21,42,63,1.3442959579406306,0.8985507246376812,0.0006836670218035579,0.319910885976686,0.9451981935807654,0.8053043394777267,0.806060606060606,0.994006269599845,0.9511808755760369,0.8181818181818182,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,joint_high_stress,LIME,0.1,0.5,69,21,42,63,1.3442959579406306,0.8985507246376812,0.05140995804686099,0.5486600446386253,0.9978725884996704,0.8931164746871729,0.8727272727272728,0.9937654877472061,0.7087703117156542,0.8787878787878789,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,credit_approval,lgbm,1,joint_high_stress,SHAP_TreeSHAP,0.1,0.5,69,21,42,63,1.3442959579406306,0.8985507246376812,0.0017214169492945075,0.7306067167965019,0.99615179951131,0.9918810664700823,0.8393939393939395,0.9932922245815341,0.99054756931646,0.8181818181818182,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,clean,AIME,0.0,0.0,0,0,561,561,11.95114412496332,0.9844444444444445,0.001786665990948677,0.0,0.9966803245200424,0.9944831581226747,0.6013653013653013,0.9999160885951276,0.9999428968987815,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,clean,HuberAIME,0.0,0.0,0,0,561,561,11.95114412496332,0.9844444444444445,0.006498707924038172,0.0,0.9968914451751381,0.9952127097766855,0.6831834831834832,0.9999125807134138,0.9999457175042629,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,clean,RidgeAIME,0.0,0.0,0,0,561,561,11.95114412496332,0.9844444444444445,0.0016625829739496112,0.0,0.996680330731435,0.9944843407385479,0.6013653013653013,0.9999160877392104,0.9999431461089044,0.8787878787878789,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,clean,HuberRidgeAIME,0.0,0.0,0,0,561,561,11.95114412496332,0.9844444444444445,0.00641116697806865,0.0,0.996891455485222,0.9952120640956054,0.6831834831834832,0.9999125796345297,0.9999457288319958,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,clean,LIME,0.0,0.0,0,0,561,561,11.95114412496332,0.9844444444444445,0.2097744169877842,0.0,0.8260995708575016,0.7848901509695697,0.3938522262051674,0.799968589998351,0.2779277484674113,0.5018315018315018,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,clean,SHAP_TreeSHAP,0.0,0.0,0,0,561,561,11.95114412496332,0.9844444444444445,0.008045500027947128,0.0,0.906839417925897,0.938604374951843,0.5775557775557776,0.9955296623801937,0.9548170280802583,0.8461538461538461,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,joint_high_stress,AIME,0.1,0.5,300,100,561,661,11.998012625030242,0.9766666666666667,0.002794959000311792,0.1474500012213634,0.9818859574319971,0.9647481718751104,0.3283613445378151,0.9993656575428713,0.9998041302180871,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,joint_high_stress,HuberAIME,0.1,0.5,300,100,561,661,11.998012625030242,0.9766666666666667,0.007548167021013796,0.14680269667426815,0.9960375445747001,0.9937840471250897,0.43090243090243086,0.9999081333888823,0.9999219540219858,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,joint_high_stress,RidgeAIME,0.1,0.5,300,100,561,661,11.998012625030242,0.9766666666666667,0.0019376249983906746,0.14745003716736754,0.9818859188022622,0.9647471538840928,0.3283613445378151,0.9993656532658285,0.9998040194163437,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,har,lgbm,0,joint_high_stress,HuberRidgeAIME,0.1,0.5,300,100,561,661,11.998012625030242,0.9766666666666667,0.00740274996496737,0.14680268326469073,0.9960375730153054,0.9937839390933897,0.43090243090243086,0.9999081325060205,0.9999218016695884,0.9393939393939394,equation-consistent inverse map,
