pipeline_version,dataset,learner,repeat,method,ridge_lambda,huber_delta,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,model_test_log_loss,orientation,solver,cond_raw,cond_reg,lambda_min_raw,lambda_min_reg,lambda_max_raw,lambda_max_reg,system_min_singular_value,solver_svd_tolerance,coef_fro_norm,mean_iter,converged,mean_huber_weight,frac_downweighted,residual_mode,effective_delta_on_l2_norm,clean_target_reconstruction_mse,clean_target_reconstruction_rmse,clean_target_reconstruction_r2,clean_target_reconstruction_cosine,operator_cosine_flat,operator_spearman_global,operator_topk_jaccard,clone_mass_ratio,clone_topk_infiltration,irrelevant_decoy_mass_ratio,irrelevant_decoy_topk_infiltration,outlier_weight_ap,mean_weight_outlier_rows,mean_weight_nonoutlier_rows,bootstrap_cosine_flat,bootstrap_spearman_global,bootstrap_topk_jaccard,log10_cond_reg,log10_coef_norm
r5_final_inverse_map_complete_2026-08-31,credit_approval,svm,2,HuberRidgeAIME,1.0,1.0,0.1,0.5,21,21,42,63,0.021548249991610646,0.8840579710144928,0.3697652672762235,X ~= Y A^T,SVD normal-system solve,2.350060290516904,2.304873598146032,28.877386896040406,29.877386896040402,67.86360023827775,68.86360023827775,29.877386896040402,6.886360023827776e-11,4.334834252424817,7,True,0.9147159715418578,0.2222222222222222,rms,7.937253933193772,0.8286038799032893,0.9102768149872265,0.0466382240118407,0.255365341648133,0.9894334485567782,0.9600825737188983,0.6666666666666666,0.39100217713929136,0.23809523809523808,0.025604105464118232,0.0,0.9901360544217687,0.3003266904059822,0.9808809710487982,0.9508029504456911,0.8182816672994837,0.7999999999999999,0.3626471131820999,0.6369724963604514
r5_final_inverse_map_complete_2026-08-31,credit_approval,svm,2,HuberRidgeAIME,1.0,2.0,0.1,0.5,21,21,42,63,0.021548249991610646,0.8840579710144928,0.3697652672762235,X ~= Y A^T,SVD normal-system solve,2.3369518516252534,2.2944001525371593,30.419470438945268,31.41947043894527,71.0888377677528,72.0888377677528,31.41947043894527,7.208883776775279e-11,4.389905404694403,7,True,0.9599464989248193,0.09722222222222222,rms,15.874507866387544,0.8317565636467747,0.9120068879382297,0.043010859663547896,0.25007162050306503,0.9684220072482732,0.8722786321552268,0.6666666666666666,0.38220370105930535,0.23809523809523808,0.030453111414958267,0.0,0.9304138321995463,0.598577058038978,0.9988632079432945,0.9353347995625942,0.7906126365726045,0.7682983682983683,0.3606691628606334,0.6424551620047959
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,RidgeAIME,0.0,1.0,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.132747822181298,2.132747822181298,33.90780722876759,33.90780722876759,72.31680202209735,72.31680202209735,33.90780722876759,7.231680202209733e-11,5.057148202000716,1,True,1.0,0.0,rms,7.937253933193772,0.8526623870294537,0.923397198950405,0.042170883085810296,0.2505414451740437,0.9210969343040473,0.8253762533101164,0.5384615384615384,0.32991230529123444,0.14285714285714285,0.030194539209796888,0.13333333333333333,0.09027777777777778,1.0,1.0,0.8727771825145141,0.7204748506831478,0.5421245421245421,0.32893950715608666,0.7039056810139982
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,HuberRidgeAIME,0.0,0.5,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.1023437115806503,2.1023437115806503,21.372602066915682,21.372602066915682,44.932555555495796,44.932555555495796,21.372602066915682,4.49325555554958e-11,4.557056040178524,13,True,0.6208377652479518,0.9513888888888888,rms,3.968626966596886,0.8421531343198951,0.9176890183062534,0.05397633902634169,0.2584756269060424,0.9558912084500536,0.7628237460069651,0.8181818181818182,0.3329070692555358,0.14285714285714285,0.02013486168062939,0.0,0.9383413594952055,0.10564822809325637,0.6719634445075778,0.9594954164115943,0.9105484331454813,0.731934731934732,0.32270372017935733,0.6586843693308907
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,HuberRidgeAIME,0.0,1.0,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.1352119654904937,2.1352119654904937,30.65474852965917,30.65474852965917,65.45438585963038,65.45438585963038,30.654748529659177,6.545438585963036e-11,4.543155069198721,7,True,0.9011748074868142,0.20833333333333334,rms,7.937253933193772,0.8331704767492539,0.9127817245920593,0.06406691074535964,0.27369295068778215,0.9760959325663303,0.8752790402185016,0.8181818181818182,0.33187285148747575,0.14285714285714285,0.0230501414127569,0.0,0.9383413594952055,0.21167059237340075,0.9695988899026493,0.9551126386026907,0.8645277151781746,0.7986013986013987,0.3294409945242687,0.6573575606200336
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,HuberRidgeAIME,0.0,2.0,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.111225570493489,2.111225570493489,32.3787424361388,32.3787424361388,68.35882897159888,68.35882897159888,32.37874243613881,6.835882897159887e-11,4.689383391377508,6,True,0.9436207544288655,0.09722222222222222,rms,15.874507866387544,0.8353104468962632,0.9139531973226327,0.061662998309074624,0.27150768939517433,0.9790417146680755,0.908715587675635,0.8181818181818182,0.3274396647119465,0.14285714285714285,0.02873898310482122,0.06666666666666667,0.9383413594952055,0.4245910796759337,0.9951275160455687,0.939213283963937,0.8252370516674995,0.793939393939394,0.32453463728066073,0.6711157409395285
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,RidgeAIME,1e-06,1.0,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.132747822181298,2.1327477887746027,33.90780722876759,33.907808228767585,72.31680202209735,72.31680302209735,33.907808228767585,7.231680302209734e-11,5.0571480584369795,1,True,1.0,0.0,rms,7.937253933193772,0.8526623853640825,0.9233971980486417,0.04217088495658716,0.2505414448618287,0.9210969337635194,0.8253762533101164,0.5384615384615384,0.32991230535921995,0.14285714285714285,0.030194539281104726,0.13333333333333333,0.09027777777777778,1.0,1.0,0.8727771814488566,0.7204748506831478,0.5421245421245421,0.3289395003534336,0.7039056686851248
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,HuberRidgeAIME,1e-06,0.5,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.1023437121212942,2.1023436605438754,21.372602056829507,21.372603056829504,44.93255554584616,44.93255654584616,21.372603056829508,4.493255654584616e-11,4.557055827285219,13,True,0.6208377651206956,0.9513888888888888,rms,3.968626966596886,0.8421531330309772,0.9176890176039905,0.05397634047423383,0.25847562643852096,0.9558912079547117,0.7628237460069651,0.8181818181818182,0.3329070693241965,0.14285714285714285,0.0201348617721828,0.0,0.9383413594952055,0.10564822809069224,0.6719634443679479,0.9594954161463496,0.9105484331454813,0.731934731934732,0.32270370963636674,0.6586843490418294
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,HuberRidgeAIME,1e-06,1.0,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.135211965522729,2.135211928490557,30.654748529512386,30.654749529512383,65.45438586030512,65.45438686030512,30.654749529512376,6.545438686030513e-11,4.543154922556803,7,True,0.9011748074963373,0.20833333333333334,rms,7.937253933193772,0.8331704760983427,0.9127817242355056,0.06406691147655386,0.2736929505468154,0.9760959324275095,0.8752790402185016,0.8181818181818182,0.3318728515279978,0.14285714285714285,0.02305014148261424,0.0,0.9383413594952055,0.21167059235854258,0.9695988899145916,0.9551126382150603,0.8645277151781746,0.7986013986013987,0.32944098699861374,0.6573575466020712
r5_final_inverse_map_complete_2026-08-31,credit_approval,mlp,2,HuberRidgeAIME,1e-06,2.0,0.1,0.5,21,21,42,63,0.039689957979135215,0.821256038647343,0.40237910465157584,X ~= Y A^T,SVD normal-system solve,2.111225570499607,2.1112255361800054,32.37874243588928,32.37874343588928,68.35882897127017,68.35882997127017,32.37874343588928,6.835882997127016e-11,4.689383248735857,6,True,0.9436207544239077,0.09722222222222222,rms,15.874507866387544,0.8353104460401126,0.913953196854255,0.061662999270822305,0.27150768926377067,0.9790417145668745,0.908715587675635,0.8181818181818182,0.3274396647357184,0.14285714285714285,0.02873898319362634,0.06666666666666667,0.9383413594952055,0.4245910796195208,0.9951275160457171,0.939213283428022,0.8252370516674995,0.793939393939394,0.3245346302221271,0.6711157277291601
