n,d,C,repeat,method,runtime_sec,n_times_d,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean
500,100,3,0,AIME,0.003969374985899776,50000,95.32701181448603,95.32701181448603,27.4144038798453,27.4144038798453,1.0,1.0,0.0,0.23585429740256814
500,100,3,0,HuberAIME,0.0028694169595837593,50000,95.32701181448603,95.32701181448603,27.4144038798453,27.4144038798453,2.0,1.0,0.0,0.23585429740256814
500,100,3,0,RidgeAIME,0.0022905829828232527,50000,95.32701181448603,95.29261653201159,27.4144038798453,27.424403879845265,1.0,1.0,0.0,0.2358317885554445
500,100,3,0,HuberRidgeAIME,0.00271462497767061,50000,95.32701181448603,95.29261653201159,27.4144038798453,27.424403879845265,2.0,1.0,0.0,0.2358317885554445
500,100,3,1,AIME,0.002545333991292864,50000,93.57665141134271,93.57665141134271,28.279395350093445,28.279395350093445,1.0,1.0,0.0,0.27586778096643233
500,100,3,1,HuberAIME,0.0031307910103350878,50000,93.57665141134271,93.57665141134271,28.279395350093445,28.279395350093445,2.0,1.0,0.0,0.27586778096643233
500,100,3,1,RidgeAIME,0.002599583996925503,50000,93.57665141134271,93.54392655092597,28.279395350093445,28.289395350093372,1.0,1.0,0.0,0.2758353512135761
500,100,3,1,HuberRidgeAIME,0.003144749964121729,50000,93.57665141134271,93.54392655092597,28.279395350093445,28.289395350093372,2.0,1.0,0.0,0.2758353512135761
500,100,3,2,AIME,0.002612625015899539,50000,87.46615956163578,87.46615956163578,27.530931997544783,27.530931997544783,1.0,1.0,0.0,0.25501906636024857
500,100,3,2,HuberAIME,0.0025010420358739793,50000,87.46615956163578,87.46615956163578,27.530931997544783,27.530931997544783,2.0,1.0,0.0,0.25501906636024857
500,100,3,2,RidgeAIME,0.0022706249728798866,50000,87.46615956163578,87.43476405201038,27.530931997544783,27.540931997544842,1.0,1.0,0.0,0.2549848674487795
500,100,3,2,HuberRidgeAIME,0.0029510000022128224,50000,87.46615956163578,87.43476405201038,27.530931997544783,27.540931997544842,2.0,1.0,0.0,0.2549848674487795
500,300,3,0,AIME,0.015685042017139494,150000,954.7221979262804,954.7221979262804,4.455405556573736,4.455405556573736,1.0,1.0,0.0,0.3545181133626727
500,300,3,0,HuberAIME,0.017467541038058698,150000,954.7221979262804,954.7221979262804,4.455405556573736,4.455405556573736,2.0,1.0,0.0,0.3545181133626727
500,300,3,0,RidgeAIME,0.016115874983370304,150000,954.7221979262804,952.5863959574534,4.455405556573736,4.465405556573807,1.0,1.0,0.0,0.3543646556617972
500,300,3,0,HuberRidgeAIME,0.017455374996643513,150000,954.7221979262804,952.5863959574534,4.455405556573736,4.465405556573807,2.0,1.0,0.0,0.3543646556617972
500,300,3,1,AIME,0.015481124981306493,150000,798.7977706522481,798.7977706522481,4.819639116518393,4.819639116518393,1.0,1.0,0.0,0.36803353452798876
500,300,3,1,HuberAIME,0.017121208016760647,150000,798.7977706522481,798.7977706522481,4.819639116518393,4.819639116518393,2.0,1.0,0.0,0.36803353452798876
500,300,3,1,RidgeAIME,0.016207000007852912,150000,798.7977706522481,797.1458920099928,4.819639116518393,4.829639116518208,1.0,1.0,0.0,0.367849218296811
500,300,3,1,HuberRidgeAIME,0.016996624995954335,150000,798.7977706522481,797.1458920099928,4.819639116518393,4.829639116518208,2.0,1.0,0.0,0.367849218296811
500,300,3,2,AIME,0.01672225003130734,150000,799.5448941015633,799.5448941015633,5.106981988868305,5.106981988868305,1.0,1.0,0.0,0.36608881534359344
500,300,3,2,HuberAIME,0.018214000039733946,150000,799.5448941015633,799.5448941015633,5.106981988868305,5.106981988868305,2.0,1.0,0.0,0.36608881534359344
500,300,3,2,RidgeAIME,0.016199582954868674,150000,799.5448941015633,797.9843162143751,5.106981988868305,5.116981988868246,1.0,1.0,0.0,0.3659152971100233
500,300,3,2,HuberRidgeAIME,0.018590542022138834,150000,799.5448941015633,797.9843162143751,5.106981988868305,5.116981988868246,2.0,1.0,0.0,0.3659152971100233
1000,20,3,0,AIME,0.0006767910090275109,20000,15.468550742424867,15.468550742424867,234.78663287338333,234.78663287338333,1.0,1.0,0.0,0.15649535392010464
1000,20,3,0,HuberAIME,0.0014219580334611237,20000,15.468550742424867,15.468550742424867,234.60569848714206,234.60569848714206,8.0,0.9998462819794266,0.001,0.1577880657582209
1000,20,3,0,RidgeAIME,0.000563915993552655,20000,15.468550742424867,15.467934526145912,234.78663287338333,234.7966328733831,1.0,1.0,0.0,0.15649371296844197
1000,20,3,0,HuberRidgeAIME,0.0017595000099390745,20000,15.468550742424867,15.467934526145912,234.60577102210124,234.61577102210083,8.0,0.9998462940393354,0.001,0.15778628052840402
1000,20,3,1,AIME,0.0007047499530017376,20000,13.325243751677919,13.325243751677919,266.77678343127826,266.77678343127826,1.0,1.0,0.0,0.15001407495308508
1000,20,3,1,HuberAIME,0.0015428329934366047,20000,13.325243751677919,13.325243751677919,266.77678343127826,266.77678343127826,5.666666666666667,0.9998971002036531,0.0003333333333333333,0.15116451797346453
1000,20,3,1,RidgeAIME,0.0006524170166812837,20000,13.325243751677919,13.324781763134395,266.77678343127826,266.78678343127757,1.0,1.0,0.0,0.1500113804535449
1000,20,3,1,HuberRidgeAIME,0.001171999960206449,20000,13.325243751677919,13.324781763134395,266.77678343127826,266.78678343127757,5.666666666666667,0.9998971040533963,0.0003333333333333333,0.15116171341160248
1000,20,3,2,AIME,0.0005423750262707472,20000,14.611014672075221,14.611014672075221,246.4608707379709,246.4608707379709,1.0,1.0,0.0,0.13209821833386826
1000,20,3,2,HuberAIME,0.0019146249978803098,20000,14.620783710911265,14.620783710911265,245.66081628752346,245.66081628752346,12.666666666666666,0.9996685237302669,0.0016666666666666668,0.1349044363913202
1000,20,3,2,RidgeAIME,0.0005311669665388763,20000,14.611014672075221,14.61046243583605,246.4608707379709,246.4708707379709,1.0,1.0,0.0,0.1320964338363079
1000,20,3,2,HuberRidgeAIME,0.0026331660337746143,20000,14.620783230613103,14.620230122131431,245.6608581485045,245.6708581485045,12.666666666666666,0.9996685359042927,0.0016666666666666668,0.13490242554315113
1000,100,3,0,AIME,0.0026004589744843543,100000,51.97810394288063,51.97810394288063,85.26918046947318,85.26918046947318,1.0,1.0,0.0,0.20762887718025488
1000,100,3,0,HuberAIME,0.0028127499972470105,100000,51.97810394288063,51.97810394288063,85.26918046947318,85.26918046947318,2.0,1.0,0.0,0.20762887718025488
1000,100,3,0,RidgeAIME,0.0026222080341540277,100000,51.97810394288063,51.97212615279593,85.26918046947318,85.27918046947352,1.0,1.0,0.0,0.20762196732154645
1000,100,3,0,HuberRidgeAIME,0.002987665997352451,100000,51.97810394288063,51.97212615279593,85.26918046947318,85.27918046947352,2.0,1.0,0.0,0.20762196732154645
1000,100,3,1,AIME,0.0024604580248706043,100000,50.44139943734571,50.44139943734571,90.22700368393944,90.22700368393944,1.0,1.0,0.0,0.2294647976875547
1000,100,3,1,HuberAIME,0.003392124956008047,100000,50.44139943734571,50.44139943734571,90.22700368393944,90.22700368393944,2.0,1.0,0.0,0.2294647976875547
1000,100,3,1,RidgeAIME,0.0027477910043671727,100000,50.44139943734571,50.435920376935705,90.22700368393944,90.23700368393979,1.0,1.0,0.0,0.229455150864415
1000,100,3,1,HuberRidgeAIME,0.0032453330350108445,100000,50.44139943734571,50.435920376935705,90.22700368393944,90.23700368393979,2.0,1.0,0.0,0.229455150864415
1000,100,3,2,AIME,0.002663083025254309,100000,50.99987495375135,50.99987495375135,90.34820030257173,90.34820030257173,1.0,1.0,0.0,0.22615264768399979
1000,100,3,2,HuberAIME,0.0031720420229248703,100000,50.99987495375135,50.99987495375135,90.34820030257173,90.34820030257173,2.0,1.0,0.0,0.22615264768399979
1000,100,3,2,RidgeAIME,0.003008417028468102,100000,50.99987495375135,50.994341435511046,90.34820030257173,90.35820030257162,1.0,1.0,0.0,0.2261431907750722
1000,100,3,2,HuberRidgeAIME,0.00295091699808836,100000,50.99987495375135,50.994341435511046,90.34820030257173,90.35820030257162,2.0,1.0,0.0,0.2261431907750722
1000,300,3,0,AIME,0.017222249996848404,300000,173.1558867535925,173.1558867535925,34.261637278216895,34.261637278216895,1.0,1.0,0.0,0.30381736454372055
1000,300,3,0,HuberAIME,0.01810766599373892,300000,173.1558867535925,173.1558867535925,34.261637278216895,34.261637278216895,2.0,1.0,0.0,0.30381736454372055
1000,300,3,0,RidgeAIME,0.016715833044145256,300000,173.1558867535925,173.10565399541872,34.261637278216895,34.2716372782174,1.0,1.0,0.0,0.3037918730696849
1000,300,3,0,HuberRidgeAIME,0.018637500004842877,300000,173.1558867535925,173.10565399541872,34.261637278216895,34.2716372782174,2.0,1.0,0.0,0.3037918730696849
1000,300,3,1,AIME,0.016677999985404313,300000,172.77139477038426,172.77139477038426,34.43539274278487,34.43539274278487,1.0,1.0,0.0,0.2887701401649347
1000,300,3,1,HuberAIME,0.018518124998081475,300000,172.77139477038426,172.77139477038426,34.43539274278487,34.43539274278487,2.0,1.0,0.0,0.2887701401649347
1000,300,3,1,RidgeAIME,0.0166773340315558,300000,172.77139477038426,172.7215270286944,34.43539274278487,34.44539274278489,1.0,1.0,0.0,0.2887469146139625
1000,300,3,1,HuberRidgeAIME,0.019217166991438717,300000,172.77139477038426,172.7215270286944,34.43539274278487,34.44539274278489,2.0,1.0,0.0,0.2887469146139625
1000,300,3,2,AIME,0.0160415829741396,300000,181.03452667931316,181.03452667931316,33.56228520454708,33.56228520454708,1.0,1.0,0.0,0.3093723234939882
1000,300,3,2,HuberAIME,0.01826716697541997,300000,181.03452667931316,181.03452667931316,33.56228520454708,33.56228520454708,2.0,1.0,0.0,0.3093723234939882
1000,300,3,2,RidgeAIME,0.01669224997749552,300000,181.03452667931316,180.9809007418518,33.56228520454708,33.57228520454716,1.0,1.0,0.0,0.30934380977616416
1000,300,3,2,HuberRidgeAIME,0.018567040970083326,300000,181.03452667931316,180.9809007418518,33.56228520454708,33.57228520454716,2.0,1.0,0.0,0.30934380977616416
2000,20,3,0,AIME,0.0006998340249992907,40000,9.982289688216236,9.982289688216236,722.7517153789382,722.7517153789382,1.0,1.0,0.0,0.11192612647598715
2000,20,3,0,HuberAIME,0.0021292080054990947,40000,9.996340143908347,9.996340143908347,720.1938099003714,720.1938099003714,10.333333333333334,0.9997652115261269,0.0015000000000000002,0.11541098815024571
2000,20,3,0,RidgeAIME,0.0006196670001372695,40000,9.982289688216236,9.982165410885308,722.7517153789382,722.7617153789384,1.0,1.0,0.0,0.11192529851266636
2000,20,3,0,HuberRidgeAIME,0.002887916984036565,40000,9.996339217302031,9.996214303526425,720.193930597972,720.2039305979724,10.333333333333334,0.9997652200086158,0.0015000000000000002,0.1154099813886079
2000,20,3,1,AIME,0.0007801660103723407,40000,9.148551615768127,9.148551615768127,711.5808761859057,711.5808761859057,1.0,1.0,0.0,0.15537707618522115
2000,20,3,1,HuberAIME,0.0031531659769825637,40000,9.19802779893322,9.19802779893322,706.033092469011,706.033092469011,16.666666666666668,0.9993602030007317,0.0031666666666666666,0.16088986657725265
2000,20,3,1,RidgeAIME,0.0006237920024432242,40000,9.148551615768127,9.148437104018626,711.5808761859057,711.5908761859063,1.0,1.0,0.0,0.155376322003552
2000,20,3,1,HuberRidgeAIME,0.003907957987394184,40000,9.198027864023143,9.197911751745051,706.0331505504068,706.0431505504074,16.666666666666668,0.9993602132847573,0.0031666666666666666,0.16088894022815578
2000,20,3,2,AIME,0.0006707500433549285,40000,12.376392707787087,12.376392707787087,557.5281127619717,557.5281127619717,1.0,1.0,0.0,0.14270800746865125
2000,20,3,2,HuberAIME,0.002214708016254008,40000,12.396695876987582,12.396695876987582,556.4201910841364,556.4201910841364,10.666666666666666,0.9997003344895875,0.0015000000000000002,0.14462483061372225
2000,20,3,2,RidgeAIME,0.0006163329817354679,40000,12.376392707787087,12.376188660880779,557.5281127619717,557.5381127619702,1.0,1.0,0.0,0.14270729691985226
2000,20,3,2,HuberRidgeAIME,0.0022247920278459787,40000,12.396695528774544,12.396490710716254,556.4202106151213,556.4302106151232,10.666666666666666,0.9997003395846074,0.0015000000000000002,0.14462404425003997
2000,100,3,0,AIME,0.003024500038009137,200000,29.291003731158938,29.291003731158938,282.24406357466336,282.24406357466336,1.0,1.0,0.0,0.1844296267890452
2000,100,3,0,HuberAIME,0.008019667002372444,200000,29.291003731158938,29.291003731158938,282.24406357466336,282.24406357466336,8.0,0.9999370712988344,0.00016666666666666666,0.18477859407769961
2000,100,3,0,RidgeAIME,0.003103499999269843,200000,29.291003731158938,29.290001407105095,282.24406357466336,282.25406357465994,1.0,1.0,0.0,0.18442723154953578
2000,100,3,0,HuberRidgeAIME,0.008048040966968983,200000,29.291003731158938,29.290001407105095,282.24406357466336,282.25406357465994,8.0,0.9999370720932558,0.00016666666666666666,0.18477618979409396
2000,100,3,1,AIME,0.002975375042296946,200000,30.46331161952257,30.46331161952257,274.4129095802145,274.4129095802145,1.0,1.0,0.0,0.17387553307153616
2000,100,3,1,HuberAIME,0.010324375005438924,200000,30.465186821537003,30.465186821537003,274.3953318237853,274.3953318237853,11.666666666666666,0.9999457161095199,0.0005,0.17402242184989145
2000,100,3,1,RidgeAIME,0.003267291991505772,200000,30.46331161952257,30.462237973315077,274.4129095802145,274.4229095802122,1.0,1.0,0.0,0.1738736338457696
2000,100,3,1,HuberRidgeAIME,0.010775708011351526,200000,30.465186547156232,30.464112763856093,274.39533439323264,274.40533439323474,11.666666666666666,0.9999457184266273,0.0005,0.1740205140409672
2000,100,3,2,AIME,0.0035883329692296684,200000,29.65832669607209,29.65832669607209,277.88822506061194,277.88822506061194,1.0,1.0,0.0,0.1768553041126952
2000,100,3,2,HuberAIME,0.010542500007431954,200000,29.67802151435207,29.67802151435207,277.70236361005215,277.70236361005215,11.0,0.9998437845588685,0.0008333333333333334,0.17756904416571195
2000,100,3,2,RidgeAIME,0.003763749962672591,200000,29.65832669607209,29.657295443472833,277.88822506061194,277.89822506061137,1.0,1.0,0.0,0.1768531738672139
2000,100,3,2,HuberRidgeAIME,0.010055291990283877,200000,29.678021166564484,29.676988514634303,277.70236688375854,277.71236688375944,11.0,0.9998437875017189,0.0008333333333333334,0.1775668776470749
2000,300,3,0,AIME,0.018799750017933547,600000,75.12309284836532,75.12309284836532,129.04387958934083,129.04387958934083,1.0,1.0,0.0,0.24337676392412547
2000,300,3,0,HuberAIME,0.021961334045045078,600000,75.12309284836532,75.12309284836532,129.04387958934083,129.04387958934083,2.0,1.0,0.0,0.24337676392412547
2000,300,3,0,RidgeAIME,0.018735499994363636,600000,75.12309284836532,75.1173492711019,129.04387958934083,129.05387958934185,1.0,1.0,0.0,0.24337069926520283
2000,300,3,0,HuberRidgeAIME,0.02096366696059704,600000,75.12309284836532,75.1173492711019,129.04387958934083,129.05387958934185,2.0,1.0,0.0,0.24337069926520283
2000,300,3,1,AIME,0.01841725001577288,600000,75.86342402674097,75.86342402674097,125.30451933732996,125.30451933732996,1.0,1.0,0.0,0.24683371493771453
2000,300,3,1,HuberAIME,0.020988959004171193,600000,75.86342402674097,75.86342402674097,125.30451933732996,125.30451933732996,2.0,1.0,0.0,0.24683371493771453
2000,300,3,1,RidgeAIME,0.018770749971736223,600000,75.86342402674097,75.857449984433,125.30451933732996,125.31451933733075,1.0,1.0,0.0,0.2468267875308516
2000,300,3,1,HuberRidgeAIME,0.021642332954797894,600000,75.86342402674097,75.857449984433,125.30451933732996,125.31451933733075,2.0,1.0,0.0,0.2468267875308516
2000,300,3,2,AIME,0.018165124987717718,600000,76.13582456582411,76.13582456582411,128.93785126090782,128.93785126090782,1.0,1.0,0.0,0.2421779113181836
2000,300,3,2,HuberAIME,0.022105082985945046,600000,76.13582456582411,76.13582456582411,128.93785126090782,128.93785126090782,2.0,1.0,0.0,0.2421779113181836
2000,300,3,2,RidgeAIME,0.018413374957162887,600000,76.13582456582411,76.12999772777862,128.93785126090782,128.94785126090719,1.0,1.0,0.0,0.2421724698814315
2000,300,3,2,HuberRidgeAIME,0.021526166994590312,600000,76.13582456582411,76.12999772777862,128.93785126090782,128.94785126090719,2.0,1.0,0.0,0.2421724698814315
4000,20,3,0,AIME,0.001140124979428947,80000,8.236299886845321,8.236299886845321,1617.9097545353764,1617.9097545353764,1.0,1.0,0.0,0.11931745050100856
4000,20,3,0,HuberAIME,0.004034124955069274,80000,8.329388698683344,8.329388698683344,1595.870774421741,1595.870774421741,11.333333333333334,0.9996382041194151,0.0020833333333333333,0.12265462172293484
4000,20,3,0,RidgeAIME,0.0008448330336250365,80000,8.236299886845321,8.236255160894805,1617.9097545353764,1617.9197545353775,1.0,1.0,0.0,0.11931712658624143
4000,20,3,0,HuberRidgeAIME,0.0037649169680662453,80000,8.329387345500653,8.329341418598815,1595.8710744526004,1595.8810744525997,11.333333333333334,0.9996382077028952,0.0020833333333333333,0.12265424295023682
4000,20,3,1,AIME,0.0011888329754583538,80000,8.921793604980113,8.921793604980113,1544.412888902478,1544.412888902478,1.0,1.0,0.0,0.12107372451464961
4000,20,3,1,HuberAIME,0.003760875028092414,80000,8.958787072571328,8.958787072571328,1529.962611141127,1529.962611141127,10.666666666666666,0.9995620743354118,0.002,0.12512355216309431
