dataset,learner,repeat,outlier_rate,clone_frac,condition,method,n_total,n_test,d_before,d_after,n_outlier_rows,n_clones,fit_time_sec,test_accuracy,test_log_loss,explain_time_sec,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,noise_topk_jaccard,noise_spearman_global,noise_cosine_flat,noise_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile,error
breast_cancer,mlp,0,0.0,0.5,out0.00_clone0.50,HuberAIME,569,171,30,45,0,15,0.018354250001721084,0.9532163742690059,0.1306646682966882,0.000696083006914705,1060020.7629879226,1060020.7629879226,0.0026968600928576284,0.0026968600928576284,2.0,1.0,0.0,5.725570559354212,0.40481577246283124,0.7269323671497583,0.7528635061241497,0.023338654683557652,0.28850867269984914,0.5905632411067193,0.34938598556192596,0.06390005431918344,0.02204574408547427,0.9779542559145259,0.0,22.5,0.5425531914893618,
breast_cancer,mlp,0,0.0,0.5,out0.00_clone0.50,RidgeAIME,569,171,30,45,0,15,0.018354250001721084,0.9532163742690059,0.1306646682966882,0.0005890409811399877,1060020.7629879226,225153.12229685736,0.0026968600928576284,0.012696860092988035,1.0,1.0,0.0,2.4046453343704823,0.4107681534152123,0.6446420729029424,0.7623243135428078,0.19482123616373526,0.2943802521008403,0.5803359683794466,0.4193335601066145,0.04462210941329603,0.033991963221872284,0.9660080367781277,0.13888888888888887,18.75,0.622340425531915,
breast_cancer,mlp,0,0.0,0.5,out0.00_clone0.50,HuberRidgeAIME,569,171,30,45,0,15,0.018354250001721084,0.9532163742690059,0.1306646682966882,0.0006968340021558106,1060020.7629879226,225153.12229685736,0.0026968600928576284,0.012696860092988035,2.0,1.0,0.0,2.4046453343704823,0.4107681534152123,0.6454545454545454,0.7622103175463865,0.19462246819494453,0.2943802521008403,0.5804347826086956,0.4192850967999471,0.044587865051439426,0.033991963221872284,0.9660080367781277,0.13888888888888887,18.75,0.622340425531915,
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,AIME,569,171,30,30,28,0,0.9107997919782065,0.9707602339181286,0.13342805890296613,0.0007216669619083405,4352.774438952406,4352.774438952406,0.3723619121717102,0.3723619121717102,1.0,1.0,0.0,1.0449233258597612,0.4473443223443223,0.4909529106414534,0.6666665921950153,-0.04699698178030475,0.7234848484848485,0.9347608453837597,0.9869088013114925,0.8261719842318496,0.14195544892931286,0.8580445510706872,0.3333333333333333,4.916666666666667,0.8776041666666666,
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,HuberAIME,569,171,30,30,28,0,0.9107997919782065,0.9707602339181286,0.13342805890296613,0.0010038330219686031,4353.046711420588,4353.046711420588,0.3723186327883595,0.3723186327883595,7.5,0.99935295174326,0.014619883040935672,1.044119167812885,0.45650183150183143,0.4980348535409715,0.6632678791601078,-0.0536595935996409,0.7234848484848485,0.9383203559510568,0.987178706675313,0.8282235260627315,0.1436562281374074,0.8563437718625927,0.3333333333333333,4.416666666666667,0.8932291666666666,
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,RidgeAIME,569,171,30,30,28,0,0.9107997919782065,0.9707602339181286,0.13342805890296613,0.0006498339935205877,4352.774438952406,4238.961470127644,0.3723619121717102,0.3823619121717697,1.0,1.0,0.0,1.0363034173331473,0.4473443223443223,0.489432703003337,0.6803058209704984,0.003152803643781149,0.7234848484848485,0.9345939933259177,0.9871439918252725,0.8278677676814123,0.11975044256018902,0.8802495574398111,0.3055555555555556,5.333333333333333,0.8645833333333334,
breast_cancer,lgbm,0,0.05,0.0,out0.05_clone0.00,HuberRidgeAIME,569,171,30,30,28,0,0.9107997919782065,0.9707602339181286,0.13342805890296613,0.0011754579609259963,4353.046002924448,4239.213089985904,0.3723187787490654,0.3823187787490627,7.5,0.9993542040255936,0.014619883040935672,1.0355007070409041,0.4473443223443223,0.48446421950315166,0.6770253452491845,-0.0033599752631565116,0.7234848484848485,0.9407675194660734,0.987411102728823,0.8299150525792911,0.12048173315755845,0.8795182668424415,0.3055555555555556,5.333333333333333,0.8645833333333334,
breast_cancer,svm,0,0.05,0.0,out0.05_clone0.00,AIME,569,171,30,30,28,0,0.003931958053726703,0.9649122807017544,0.09907924087250863,0.0006089159869588912,4352.774438952406,4352.774438952406,0.3723619121717102,0.3723619121717102,1.0,1.0,0.0,1.0468482314747627,0.48176129426129416,0.4922506488691137,0.6717955883623242,0.004783146435250731,0.9318181818181819,0.971301446051168,0.9932014878737103,0.8754708747133111,0.11723246893355244,0.8827675310664475,0.38888888888888884,3.5,0.921875,
breast_cancer,svm,0,0.05,0.0,out0.05_clone0.00,HuberAIME,569,171,30,30,28,0,0.003931958053726703,0.9649122807017544,0.09907924087250863,0.0005485420115292072,4352.774438952406,4352.774438952406,0.3723619121717102,0.3723619121717102,2.0,1.0,0.0,1.0468482314747627,0.48176129426129416,0.49136077122728944,0.668133842567786,-0.0004071324372687442,0.9318181818181819,0.971301446051168,0.9932014878737103,0.8754708747133111,0.11726336554357986,0.8827366344564199,0.38888888888888884,3.5,0.921875,
breast_cancer,svm,0,0.05,0.0,out0.05_clone0.00,RidgeAIME,569,171,30,30,28,0,0.003931958053726703,0.9649122807017544,0.09907924087250863,0.0005676670116372406,4352.774438952406,4238.961470127644,0.3723619121717102,0.3823619121717697,1.0,1.0,0.0,1.0370981627257172,0.4924450549450549,0.49154616240266963,0.6889309450936314,0.05478668213874147,0.9318181818181819,0.9708008898776418,0.9932991381055489,0.876601290762025,0.09696301864611058,0.9030369813538894,0.3611111111111111,4.666666666666667,0.8854166666666666,
