dataset,protocol,learner,n_after_protocol,d_after_protocol,raw_missing_cells,method,fit_time_sec,test_accuracy,test_log_loss,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile
credit_approval,impute,svm,690,42,67,RidgeAIME,0.016334042011294514,0.8454106280193237,0.363948406737692,914406021114992.2,91441.60211571769,-4.5196967896162984e-13,0.009999999999538671,1.0,1.0,0.0,0.2303635612276877,0.4493284493284493,0.6782208111780955,0.8678541142961697,0.4554646967305686,0.31037700845605726,0.6896229915439428,0.49999999999999994,1.1666666666666667,0.9962121212121212
credit_approval,impute,svm,690,42,67,HuberRidgeAIME,0.016334042011294514,0.8454106280193237,0.363948406737692,914406021114992.2,91441.60211571769,-4.5196967896162984e-13,0.009999999999538671,2.0,1.0,0.0,0.2303635612276877,0.4493284493284493,0.6782077201833346,0.8678659962347788,0.4554967928580598,0.31037700845605726,0.6896229915439428,0.49999999999999994,1.1666666666666667,0.9962121212121212
credit_approval,complete_case,svm,653,37,67,AIME,0.01266216702060774,0.8010204081632653,0.41220236650718106,748909420374175.1,748909420374175.1,-6.298137540830256e-13,-6.298137540830256e-13,1.0,1.0,0.0,3673824369864582.0,0.3055555555555555,0.4924529792950845,0.34965005864036014,-8.436802319052693e+30,0.05340076421132714,0.9465992357886727,0.3888888888888889,5.5,0.8846153846153846
credit_approval,complete_case,svm,653,37,67,HuberAIME,0.01266216702060774,0.8010204081632653,0.41220236650718106,748909420374175.1,748909420374175.1,-6.298137540830256e-13,-6.298137540830256e-13,2.0,1.0,0.0,3673824369864582.0,0.3055555555555555,0.5098387861545756,0.34404266992872534,-8.436802319052691e+30,4.2892961199324416e-16,0.9999999999999994,0.27777777777777773,7.166666666666667,0.8418803418803419
credit_approval,complete_case,svm,653,37,67,RidgeAIME,0.01266216702060774,0.8010204081632653,0.41220236650718106,748909420374175.1,74891.94204248543,-6.298137540830256e-13,0.009999999999323286,1.0,1.0,0.0,0.279225429378652,0.6363636363636364,0.6793376646805459,0.951656541139132,0.6697771846619561,0.33282876664886263,0.6671712333511374,0.5555555555555555,1.0,1.0
credit_approval,complete_case,svm,653,37,67,HuberRidgeAIME,0.01266216702060774,0.8010204081632653,0.41220236650718106,748908859317204.8,74891.88593649695,-6.645001123326841e-13,0.009999999999362214,5.0,0.9999048211606121,0.002551020408163265,0.27946772504046263,0.6363636363636364,0.6820641666454413,0.951746479878523,0.6697909276347443,0.3325579200623731,0.6674420799376269,0.5555555555555555,1.0,1.0
credit_approval,impute,mlp,690,42,67,AIME,0.024852167000062764,0.7971014492753623,0.416238900858564,914406021114992.2,914406021114992.2,-4.5196967896162984e-13,-4.5196967896162984e-13,1.0,1.0,0.0,3.7891421370780955e+44,0.13840155945419105,-0.020176646949193716,0.08171073001597974,-6.926751030490023,0.18881348927363653,0.8111865107263633,0.4444444444444444,6.333333333333333,0.8787878787878789
credit_approval,impute,mlp,690,42,67,HuberAIME,0.024852167000062764,0.7971014492753623,0.416238900858564,9144060.211149938,9144060.211149938,-1.8875661181322493e-21,-1.8875661181322493e-21,50.0,1.0,0.0,0.1695203634349,0.5628815628815628,0.7988331111455435,0.868255149333308,0.45473025232534514,0.24202972846935075,0.7579702715306492,0.5555555555555555,1.5,0.9886363636363636
credit_approval,impute,mlp,690,42,67,RidgeAIME,0.024852167000062764,0.7971014492753623,0.416238900858564,914406021114992.2,91441.60211571769,-4.5196967896162984e-13,0.009999999999538671,1.0,1.0,0.0,0.16947228816429588,0.547008547008547,0.8045630531298277,0.8716994527054874,0.4635214347099152,0.2212376010372373,0.7787623989627627,0.49999999999999994,2.0,0.9772727272727274
credit_approval,impute,mlp,690,42,67,HuberRidgeAIME,0.024852167000062764,0.7971014492753623,0.416238900858564,914406021114992.2,91441.60211571769,-4.5196967896162984e-13,0.009999999999538671,2.0,1.0,0.0,0.16947228816429588,0.547008547008547,0.8045630531298277,0.8716994527054874,0.4635214347099152,0.2212376010372373,0.7787623989627627,0.49999999999999994,2.0,0.9772727272727274
