dataset,learner,repeat,outlier_rate,clone_frac,condition,method,n_total,n_test,d_before,d_after,n_outlier_rows,n_clones,fit_time_sec,test_accuracy,test_log_loss,explain_time_sec,cond_raw_median,cond_reg_median,lambda_min_raw_median,lambda_min_reg_median,mean_iter,mean_huber_weight,frac_downweighted,coef_l2_norm_mean,bootstrap_topk_jaccard,bootstrap_spearman_global,bootstrap_cosine_flat,bootstrap_relative_l2_similarity,noise_topk_jaccard,noise_spearman_global,noise_cosine_flat,noise_relative_l2_similarity,decoy_decoy_mass_ratio,decoy_decoy_resistance_mass,decoy_decoy_topk_infiltration,decoy_decoy_best_rank,decoy_decoy_best_rank_percentile,error,log10_cond_raw,log10_cond_reg,log10_coef_l2_norm,stress_group
breast_cancer,mlp,0,0.0,0.0,out0.00_clone0.00,RidgeAIME,569,171,30,30,0,0,0.0172526669921353,0.9239766081871345,0.3335962758180425,0.0004466250538825,140543.62732968517,87052.9964542739,0.0162742512156429,0.0262742512157225,1.0,1.0,0.0,0.609922207988187,0.5445665445665446,0.6304783092324805,0.5170537035849707,-0.1085337683224249,0.7651515151515151,0.9518909899888766,0.9167917164878356,0.5949352151280447,0.1080905903186965,0.8919094096813035,0.3333333333333333,6.666666666666667,0.8229166666666666,,5.147811158173287,4.939783724576376,-0.21472555317921938,all conditions
breast_cancer,mlp,0,0.0,0.0,out0.00_clone0.00,HuberRidgeAIME,569,171,30,30,0,0,0.0172526669921353,0.9239766081871345,0.3335962758180425,0.0005470420001074,140543.62732968517,87052.9964542739,0.0162742512156429,0.0262742512157225,2.0,1.0,0.0,0.609922207988187,0.5445665445665446,0.6304783092324805,0.5170537035849707,-0.1085337683224249,0.7651515151515151,0.9518909899888766,0.9167917164878356,0.5949352151280447,0.1080905903186965,0.8919094096813035,0.3333333333333333,6.666666666666667,0.8229166666666666,,5.147811158173287,4.939783724576376,-0.21472555317921938,all conditions
breast_cancer,lgbm,0,0.0,0.25,out0.00_clone0.25,AIME,569,171,30,38,0,8,0.907214208971709,0.95906432748538,0.3118877769450575,0.000814041995909,748700.8295979791,748700.8295979791,0.0041665119456954,0.0041665119456954,1.0,1.0,0.0,7.143927727020215,0.4374775551246139,0.7201736149104571,0.5548626356100468,-0.2759537913588045,0.5367445054945055,0.7564284932705985,0.368154132035823,0.0817266134549375,0.019758343781714,0.980241656218286,0.0555555555555555,16.166666666666668,0.6208333333333335,,5.874308314348321,5.874308314348321,0.8539370522753555,all conditions
breast_cancer,lgbm,0,0.0,0.25,out0.00_clone0.25,HuberAIME,569,171,30,38,0,8,0.907214208971709,0.95906432748538,0.3118877769450575,0.0008609169744886,750090.5818333803,750090.5818333803,0.0041587546181216,0.0041587546181216,5.5,0.9988504932602158,0.0116959064327485,7.345528133373852,0.4344474969474969,0.7499908815698287,0.5498024380492831,-0.2561893310729208,0.5367445054945055,0.7763431447641974,0.3598601267400261,0.0784243690587032,0.0195781260557561,0.9804218739442438,0.0555555555555555,16.416666666666668,0.6145833333333334,,5.8751137124783375,5.8751137124783375,0.8660230264250155,all conditions
breast_cancer,lgbm,0,0.0,0.25,out0.00_clone0.25,RidgeAIME,569,171,30,38,0,8,0.907214208971709,0.95906432748538,0.3118877769450575,0.000547416973859,748700.8295979791,220201.06023495307,0.0041665119456954,0.0141665119456899,1.0,1.0,0.0,3.515036020848098,0.4485653235653236,0.7082649451070503,0.6711489230954727,-0.0146819356336368,0.5694201631701632,0.7343254185359448,0.4452089343331147,0.0776642603905636,0.0283896257397023,0.9716103742602978,0.0833333333333333,17.166666666666668,0.5958333333333333,,5.874308314348321,5.342819405703313,0.5459297798751619,all conditions
breast_cancer,lgbm,0,0.0,0.25,out0.00_clone0.25,HuberRidgeAIME,569,171,30,38,0,8,0.907214208971709,0.95906432748538,0.3118877769450575,0.0011589159839786,750068.0317005352,220317.32818488433,0.0041588860698348,0.0141588860699214,5.0,0.999035622845904,0.0116959064327485,3.509115220908823,0.4371947496947497,0.7002772002772004,0.6607494810623477,-0.0258705932974499,0.5533945221445221,0.7400973848342269,0.4366870901402649,0.0700500158376113,0.0285532546559586,0.9714467453440412,0.0833333333333333,16.75,0.60625,,5.875100655994612,5.343048656202622,0.5451976283987549,all conditions
breast_cancer,svm,0,0.0,0.25,out0.00_clone0.25,AIME,569,171,30,38,0,8,0.0040262499824166,0.9707602339181286,0.0751084984949846,0.0006112499977461,748700.8295979791,748700.8295979791,0.0041665119456954,0.0041665119456954,1.0,1.0,0.0,6.199576677188546,0.4617257742257742,0.7444104023051391,0.6137498353489494,-0.2801926323466145,0.4611950549450549,0.7187602582339425,0.3114572009121908,0.0596649926571128,0.0207390062869943,0.9792609937130056,0.0277777777777777,17.666666666666668,0.5833333333333334,,5.874308314348321,5.874308314348321,0.7923620357824963,all conditions
breast_cancer,svm,0,0.0,0.25,out0.00_clone0.25,HuberAIME,569,171,30,38,0,8,0.0040262499824166,0.9707602339181286,0.0751084984949846,0.0007717910339124,748700.3115988572,748700.3115988572,0.0041665096736713,0.0041665096736713,4.5,0.9999427270767414,0.0029239766081871,6.208941803807564,0.4617257742257742,0.7497173286646971,0.6076207360881443,-0.2868330421498548,0.4611950549450549,0.7215778531568006,0.311122212829445,0.0593654283476896,0.0207912674233132,0.9792087325766868,0.0277777777777777,17.666666666666668,0.5833333333333334,,5.874308013875516,5.874308013875516,0.7930175892382059,all conditions
breast_cancer,svm,0,0.0,0.25,out0.00_clone0.25,RidgeAIME,569,171,30,38,0,8,0.0040262499824166,0.9707602339181286,0.0751084984949846,0.0007113750325515,748700.8295979791,220201.06023495307,0.0041665119456954,0.0141665119456899,1.0,1.0,0.0,2.819687042417081,0.3752289377289378,0.6274391800707589,0.6592239835231276,-0.1153774051872187,0.5132783882783882,0.6664022321917058,0.3676998641563282,0.0031573563038143,0.0325849521818893,0.9674150478181108,0.0555555555555555,15.25,0.64375,,5.874308314348321,5.342819405703313,0.4502009085698187,all conditions
breast_cancer,svm,0,0.0,0.25,out0.00_clone0.25,HuberRidgeAIME,569,171,30,38,0,8,0.0040262499824166,0.9707602339181286,0.0751084984949846,0.0007025840459391,748700.8295979791,220201.06023495307,0.0041665119456954,0.0141665119456899,2.0,1.0,0.0,2.819687042417081,0.3682844932844932,0.633183791078528,0.6558239760966662,-0.1197013916818536,0.5132783882783882,0.6663201663201663,0.3680033755282726,0.0029780990231316,0.0325986914377311,0.9674013085622688,0.0555555555555555,15.25,0.64375,,5.874308314348321,5.342819405703313,0.4502009085698187,all conditions
